lat,lon,altitude,hdop,age,date,time,speed,rssi
500577664,201160832,20160,9,103,312,12/31/2017,13:49:58,5,-76
500577664,201160832,20160,9,103,13,12/31/2017,13:50:00,0,-75
500577664,201160832,20160,9,103,1600,12/31/2017,13:50:00,0,-73
500577664,201160832,20160,9,103,72,12/31/2017,13:50:03,5,-73
500577664,201160832,20160,9,103,1659,12/31/2017,13:50:03,5,-74
500577664,201160816,20110,9,103,250,12/31/2017,13:50:06,7,-74
500577664,201160816,20110,9,103,1839,12/31/2017,13:50:06,7,-76
500577632,201160768,20010,9,103,428,12/31/2017,13:50:09,9,-77
500577568,201160752,19950,9,117,12,12/31/2017,13:50:11,1,-77
500577568,201160752,19950,9,117,1600,12/31/2017,13:50:11,1,-77
500577536,201160736,19850,9,103,193,12/31/2017,13:50:14,1,-78
500577536,201160736,19850,9,103,1780,12/31/2017,13:50:14,1,-84
500577504,201160704,19760,9,103,368,12/31/2017,13:50:17,1,-76
500577504,201160672,19760,9,103,73,12/31/2017,13:50:19,1,-76
500577504,201160672,19710,9,103,525,12/31/2017,13:50:19,1,-75
500577472,201160672,19680,9,103,119,12/31/2017,13:50:22,0,-74
500577472,201160672,19680,9,103,1706,12/31/2017,13:50:22,0,-77
500577472,201160672,19660,9,103,305,12/31/2017,13:50:25,3,-84
500577472,201160672,19660,9,103,6,12/31/2017,13:50:27,3,-79
500577472,201160672,19660,9,103,1592,12/31/2017,13:50:27,3,-79
500577504,201160704,19690,9,103,68,12/31/2017,13:50:30,1,-77
500577504,201160704,19690,9,103,1655,12/31/2017,13:50:30,1,-77
500577504,201160736,19710,9,103,237,12/31/2017,13:50:33,0,-77
500577504,201160736,19710,9,103,1824,12/31/2017,13:50:33,0,-77
500577504,201160768,19770,9,117,420,12/31/2017,13:50:36,3,-77
500577536,201160816,19840,9,117,6,12/31/2017,13:50:38,0,-77
500577536,201160816,19840,9,117,1591,12/31/2017,13:50:38,0,-78
500577536,201160848,19890,9,117,182,12/31/2017,13:50:41,11,-85
500577536,201160848,19890,9,117,1771,12/31/2017,13:50:41,11,-83
500577568,201160896,19960,9,117,363,12/31/2017,13:50:44,11,-82
500577568,201160912,19960,9,117,70,12/31/2017,13:50:46,7,-80
500577568,201160912,20040,9,117,524,12/31/2017,13:50:46,7,-81
500577632,201160944,20110,9,117,123,12/31/2017,13:50:49,14,-82
500577632,201160944,20110,9,117,1713,12/31/2017,13:50:49,14,-82
500577632,201160944,20110,9,117,307,12/31/2017,13:50:52,11,-83
500577632,201160928,20110,9,117,6,12/31/2017,13:50:54,1,-81
500577632,201160928,20110,9,117,1589,12/31/2017,13:50:54,1,-79
500577632,201160912,20050,9,103,67,12/31/2017,13:50:57,1,-87
500577632,201160912,20050,9,103,1655,12/31/2017,13:50:57,1,-79
500577632,201160864,20020,9,103,244,12/31/2017,13:51:00,1,-80
500577632,201160864,20020,9,103,1831,12/31/2017,13:51:00,1,-77
500577568,201160848,19990,9,103,419,12/31/2017,13:51:03,12,-75
500577568,201160848,19950,9,103,7,12/31/2017,13:51:05,1,-77
500577568,201160848,19950,9,103,1592,12/31/2017,13:51:05,1,-77
500577536,201160816,19890,9,104,184,12/31/2017,13:51:08,0,-76
500577536,201160816,19890,9,104,1769,12/31/2017,13:51:08,0,-78
500577536,201160768,19840,9,104,360,12/31/2017,13:51:11,0,-74
500577536,201160752,19840,9,104,66,12/31/2017,13:51:13,0,-76
500577536,201160752,19820,9,104,524,12/31/2017,13:51:13,0,-76
500577536,201160720,19840,9,104,123,12/31/2017,13:51:16,3,-76
500577536,201160720,19840,9,104,1708,12/31/2017,13:51:16,3,-76
500577536,201160672,19860,9,104,299,12/31/2017,13:51:19,1,-77
500577536,201160672,19860,9,104,0,12/31/2017,13:51:21,3,-81
500577536,201160672,19860,9,104,1587,12/31/2017,13:51:21,3,-82
500577504,201160672,19850,9,117,65,12/31/2017,13:51:24,3,-75
500577504,201160672,19850,9,117,1652,12/31/2017,13:51:24,3,-77
500577504,201160672,19850,9,117,244,12/31/2017,13:51:27,7,-73
500577504,201160672,19850,9,117,1831,12/31/2017,13:51:27,7,-78
500577504,201160672,19820,9,104,418,12/31/2017,13:51:30,5,-76
500577472,201160672,19770,9,104,0,12/31/2017,13:51:32,11,-73
500577472,201160704,19710,9,104,181,12/31/2017,13:51:35,1,-68
500577472,201160704,19710,9,104,1768,12/31/2017,13:51:35,1,-72
500577472,201160720,19680,9,104,354,12/31/2017,13:51:38,1,-71
500577472,201160736,19680,9,104,59,12/31/2017,13:51:40,9,-68
500577472,201160736,19710,9,104,522,12/31/2017,13:51:40,9,-63
500577536,201160736,19730,9,104,117,12/31/2017,13:51:43,1,-70
500577536,201160736,19730,9,104,1704,12/31/2017,13:51:43,1,-79
500577504,201160752,19800,9,104,295,12/31/2017,13:51:46,16,-76
500577504,201160800,19800,9,104,0,12/31/2017,13:51:48,5,-80
500577504,201160800,19800,9,104,1585,12/31/2017,13:51:48,5,-75
500577504,201160816,19870,9,104,58,12/31/2017,13:51:51,7,-77
500577504,201160816,19870,9,104,1645,12/31/2017,13:51:51,7,-77
500577504,201160832,19940,9,104,233,12/31/2017,13:51:54,7,-76
500577504,201160832,19940,9,104,1820,12/31/2017,13:51:54,7,-76
500577504,201160848,19980,9,104,410,12/31/2017,13:51:57,9,-75
500577472,201160832,19980,9,104,117,12/31/2017,13:51:59,1,-74
500577472,201160832,19960,9,104,526,12/31/2017,13:51:59,1,-76
500577440,201160816,19900,9,104,168,12/31/2017,13:52:02,3,-74
500577440,201160816,19900,9,104,1755,12/31/2017,13:52:02,3,-73
500577440,201160816,19900,9,104,351,12/31/2017,13:52:05,3,-75
500577440,201160800,19900,9,104,56,12/31/2017,13:52:07,1,-75
500577440,201160800,19910,9,104,524,12/31/2017,13:52:07,1,-76
